time_s,VM,VLEAK,VREF
0.936733398,0.992779666,0.99277969,0.993377468
0.936743398,0.992779666,0.99277969,0.993377468
0.936753398,0.992779666,0.99277969,0.993377468
0.936763398,0.992779666,0.99277969,0.993377468
0.936773398,0.992779666,0.99277969,0.993377468
0.936783398,0.992779666,0.99277969,0.993377468
0.936793398,0.992779666,0.99277969,0.993377468
0.936803398,0.992779666,0.99277969,0.993377468
0.936813398,0.992779666,0.99277969,0.993377468
0.936823398,0.992779666,0.99277969,0.993377468
0.936833398,0.992779666,0.99277969,0.993377468
0.936843398,0.992779666,0.99277969,0.993377468
0.936853398,0.992779666,0.99277969,0.993377468
0.936863398,0.992779666,0.99277969,0.993377468
0.936873398,0.992779666,0.99277969,0.993377468
0.936883398,0.992779666,0.99277969,0.993377468
0.936893398,0.992779666,0.99277969,0.993377468
0.936903398,0.992779666,0.99277969,0.993377468
0.936913398,0.992779666,0.99277969,0.993377468
0.936923398,0.992779666,0.99277969,0.993377468
0.936933398,0.992779666,0.99277969,0.993377468
0.936943398,0.992779666,0.99277969,0.993377468
0.936953398,0.992779666,0.99277969,0.993377468
0.936963398,0.992779666,0.99277969,0.993377468
0.936973398,0.992779666,0.99277969,0.993377468
0.936983398,0.992779666,0.99277969,0.993377468
0.936993398,0.992779666,0.99277969,0.993377468
0.937003398,0.992779666,0.99277969,0.993377468
0.937013398,0.992779666,0.99277969,0.993377468
0.937023398,0.992779666,0.99277969,0.993377468
0.937033398,0.992779666,0.99277969,0.993377468
0.937043398,0.992779666,0.99277969,0.993377468
0.937053398,0.992779666,0.99277969,0.993377468
0.937063398,0.992779666,0.99277969,0.993377468
0.937073398,0.992779666,0.99277969,0.993377468
0.937083398,0.992779666,0.99277969,0.993377468
0.937093398,0.992779666,0.99277969,0.993377468
0.937103398,0.992779666,0.99277969,0.993377468
0.937113398,0.992779666,0.99277969,0.993377468
0.937123398,0.992779666,0.99277969,0.993377468
0.937133398,0.992779666,0.99277969,0.993377468
0.937143398,0.992779666,0.99277969,0.993377468
0.937153398,0.992779666,0.99277969,0.993377468
0.937163398,0.992779666,0.99277969,0.993377468
0.937173398,0.992779666,0.99277969,0.993377468
0.937183398,0.992779666,0.99277969,0.993377468
0.937193398,0.992779666,0.99277969,0.993377468
0.937203398,0.992779666,0.99277969,0.993377468
0.937213398,0.992779666,0.99277969,0.993377468
0.937223398,0.992779666,0.99277969,0.993377468
0.937233398,0.992779666,0.99277969,0.993377468
