Name,Manufacturer,Component ID,Retailer,Retailer ID,Quantity,Links,,Observation,Cost per unit,Total,Total VAT,,,
Inductor 100?H,Bourns Inc.,RLB0914-101KL,DigiKey,RLB0914-101KL-ND,2,https://www.digikey.fr/fr/products/detail/bourns-inc/RLB0914-101KL/2352772,,,0.31,0.62,0.744,,,
"Schottky 3 A, 60 V",onsemi,MBR360G,DigiKey,MBR360GOS-ND,1,https://www.digikey.fr/fr/products/detail/onsemi/MBR360G/1477179?s=N4IgTCBcDaILICEBKBmAbABgOIHkDKAtAHIAiIAugL5A,,,0.51,0.51,0.612,,,
Schottky SS14,Vishay General Semiconductor - Diodes Division,1N5819-E3/54,DigiKey,1N5819-E3/54GITR-ND,1,https://www.digikey.fr/fr/products/detail/vishay-general-semiconductor-diodes-division/1N5819-E3-54/1023531,,,0.25,0.25,0.3,,,
Zener Diode 10 V 500 mW ±5% ,Diotec Semiconductor,ZPD10,DigiKey,4878-ZPD10CT-ND,1,https://www.digikey.co.uk/en/products/detail/rochester-electronics-llc/BZX55C10/11537352,,,0.07,0.07,0.084,,,
TVS diode,P6KE6.8CA,Littelfuse Inc.,DigiKey,18-P6KE6.8CATR-ND,9,https://www.digikey.fr/fr/products/detail/littelfuse-inc/P6KE6-8CA/285916,,,0.35,3.15,3.78,,,
Bat41 diode,BAT41,STMicroelectronics,DigiKey,497-2493-1-ND,16,https://www.digikey.fr/fr/products/detail/stmicroelectronics/BAT41/603518,,,0.13,2.08,2.496,,,
Diode 1N4148,onsemi,1N4148,DigiKey,1N4148FS-ND,8,https://www.digikey.fr/fr/products/detail/onsemi/1N4148/458603,,,0.09,0.72,0.864,,,
Bipolar (BJT) Transistor NPN 40 V 200 mA 300MHz,onsemi,2N3904TFR,DigiKey,2N3904D26ZCT-ND,8,https://www.digikey.fr/fr/products/detail/onsemi/2N3904TFR/458921,,,0.14,1.12,1.344,,,
4pos rotary switch,,,,,8,,,,,,,,,
LED,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
