 4.04210064e-07 -2.67226629e-06  4.04210064e-07 -2.28212436e-05  4.04210064e-07 -1.24423254e-07  4.04210064e-07 -1.99773750e-02  4.04210064e-07 -2.59576587e-04  4.04210064e-07 -1.21147625e-07  4.04210064e-07 -1.01471209e-09 
 4.26372370e-07 -2.79391601e-06  4.26372370e-07 -2.39783201e-05  4.26372370e-07 -1.23908315e-07  4.26372370e-07 -1.99776643e-02  4.26372370e-07 -2.69899771e-04  4.26372370e-07 -1.28924828e-07  4.26372370e-07 -1.06094799e-09 
 4.47715682e-07 -2.90296159e-06  4.47715682e-07 -2.50904541e-05  4.47715682e-07 -1.23155404e-07  4.47715682e-07 -1.99779202e-02  4.47715682e-07 -2.79590715e-04  4.47715682e-07 -1.36519405e-07  4.47715682e-07 -1.10239621e-09 
 4.73810324e-07 -3.02718655e-06  4.73810324e-07 -2.64472616e-05  4.73810324e-07 -1.21941241e-07  4.73810324e-07 -1.99782064e-02  4.73810324e-07 -2.91123132e-04  4.73810324e-07 -1.45869123e-07  4.73810324e-07 -1.14960611e-09 
 4.98250021e-07 -3.13834986e-06  4.98250021e-07 -2.77151285e-05  4.98250021e-07 -1.20551432e-07  4.98250021e-07 -1.99784534e-02  4.98250021e-07 -3.01624846e-04  4.98250021e-07 -1.54644030e-07  4.98250021e-07 -1.19183993e-09 
 5.35775470e-07 -3.30807849e-06  5.35775470e-07 -2.96564244e-05  5.35775470e-07 -1.18034514e-07  5.35775470e-07 -1.99788060e-02  5.35775470e-07 -3.17224224e-04  5.35775470e-07 -1.68110980e-07  5.35775470e-07 -1.25630847e-09 
 5.75012714e-07 -3.48834465e-06  5.75012714e-07 -3.16792713e-05  5.75012714e-07 -1.15009252e-07  5.75012714e-07 -1.99791484e-02  5.75012714e-07 -3.32899463e-04  5.75012714e-07 -1.82194492e-07  5.75012714e-07 -1.32477581e-09 
 6.11288655e-07 -3.65629010e-06  6.11288655e-07 -3.35431009e-05  6.11288655e-07 -1.11938192e-07  6.11288655e-07 -1.99794437e-02  6.11288655e-07 -3.46851812e-04  6.11288655e-07 -1.95228667e-07  6.11288655e-07 -1.38856978e-09 
 6.53815361e-07 -3.85030828e-06  6.53815361e-07 -3.57203529e-05  6.53815361e-07 -1.08102816e-07  6.53815361e-07 -1.99797637e-02  6.53815361e-07 -3.62596707e-04  6.53815361e-07 -2.10508085e-07  6.53815361e-07 -1.46227624e-09 
 7.18561931e-07 -4.13390677e-06  7.18561931e-07 -3.90192487e-05  7.18561931e-07 -1.01984220e-07  7.18561931e-07 -1.99802011e-02  7.18561931e-07 -3.85413279e-04  7.18561931e-07 -2.33639354e-07  7.18561931e-07 -1.57001879e-09 
 7.79159425e-07 -4.38737311e-06  7.79159425e-07 -4.20893879e-05  7.79159425e-07 -9.61199493e-08  7.79159425e-07 -1.99805651e-02  7.79159425e-07 -4.05607565e-04  7.79159425e-07 -2.55014400e-07  7.79159425e-07 -1.66631091e-09 
