time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,Vm_Int,AP,Spike_Out
9.98535e-07,-5.23292586e-06,-5.30651225e-05,-7.56221095e-08,-0.0199816416,-0.000470757304,-3.28961312e-07,-1.98752974e-09
9.98605e-07,-5.23317759e-06,-5.30685902e-05,-7.56159508e-08,-0.0199816419,-0.000470776297,-3.28983915e-07,-1.98762536e-09
9.98745e-07,-5.233681e-06,-5.30755257e-05,-7.56036371e-08,-0.0199816425,-0.00047081428,-3.29029116e-07,-1.98781661e-09
9.99025e-07,-5.23468768e-06,-5.30893963e-05,-7.5579015e-08,-0.0199816436,-0.000470890234,-3.29119511e-07,-1.98819906e-09
9.995e-07,-5.23639496e-06,-5.3112926e-05,-7.55372547e-08,-0.0199816456,-0.000471019048,-3.29272833e-07,-1.98884766e-09
9.9955e-07,-5.23657463e-06,-5.31154028e-05,-7.55328617e-08,-0.0199816459,-0.000471032604,-3.29288971e-07,-1.98891592e-09
9.9965e-07,-5.23693397e-06,-5.31203563e-05,-7.55240741e-08,-0.0199816463,-0.000471059716,-3.29321244e-07,-1.98905244e-09
9.99825e-07,-5.23756274e-06,-5.31290247e-05,-7.55086944e-08,-0.019981647,-0.000471107156,-3.29377719e-07,-1.98929132e-09
1e-06,-5.23819144e-06,-5.31376931e-05,-7.54933165e-08,-0.0199816478,-0.000471154591,-3.2943419e-07,-1.98953015e-09
1.000035e-06,-5.23831717e-06,-5.31394267e-05,-7.54902398e-08,-0.0199816479,-0.000471164076,-3.29445483e-07,-1.98957792e-09
1.000105e-06,-5.23856861e-06,-5.3142894e-05,-7.54840883e-08,-0.0199816482,-0.000471183048,-3.2946807e-07,-1.98967343e-09
1.000245e-06,-5.23907147e-06,-5.31498285e-05,-7.54717906e-08,-0.0199816488,-0.000471220987,-3.29513241e-07,-1.98986444e-09
1.000525e-06,-5.24007703e-06,-5.31636973e-05,-7.54471987e-08,-0.01998165,-0.000471296855,-3.29603574e-07,-1.99024649e-09
1.001085e-06,-5.24208752e-06,-5.31914338e-05,-7.53980292e-08,-0.0199816523,-0.000471448541,-3.29784206e-07,-1.99101028e-09
1.002205e-06,-5.24610599e-06,-5.32469026e-05,-7.52997558e-08,-0.019981657,-0.000471751718,-3.30145333e-07,-1.9925369e-09
1.004445e-06,-5.25413283e-06,-5.33578234e-05,-7.51034879e-08,-0.0199816664,-0.000472357296,-3.3086703e-07,-1.99558632e-09
1.008925e-06,-5.27014591e-06,-5.35795981e-05,-7.47120428e-08,-0.0199816852,-0.000473565357,-3.32308187e-07,-2.00166974e-09
1.017885e-06,-5.30200861e-06,-5.40228801e-05,-7.39335704e-08,-0.0199817223,-0.000475969175,-3.35181471e-07,-2.0137745e-09
1.035805e-06,-5.36507935e-06,-5.49083751e-05,-7.23944886e-08,-0.0199817955,-0.000480728229,-3.40891308e-07,-2.03773533e-09
1.071645e-06,-5.48865872e-06,-5.66750999e-05,-6.9389003e-08,-0.0199819373,-0.000490056861,-3.52159865e-07,-2.08468361e-09
1.09261029e-06,-5.5594001e-06,-5.77059476e-05,-6.76762681e-08,-0.0199820177,-0.000495398951,-3.586565e-07,-2.11155848e-09
1.10167895e-06,-5.58965173e-06,-5.81512458e-05,-6.69458604e-08,-0.0199820519,-0.000497683822,-3.61444625e-07,-2.12305116e-09
1.10604009e-06,-5.604126e-06,-5.83652614e-05,-6.65968649e-08,-0.0199820682,-0.000498777121,-3.62780657e-07,-2.12854998e-09
1.11476236e-06,-5.63293307e-06,-5.87930415e-05,-6.59032917e-08,-0.0199821006,-0.000500953166,-3.65443303e-07,-2.13949385e-09
